player,role,role_mantra,team,Prezzo_Consigliato_Cr,NN_FV_Atteso,NN_MV_Atteso,NN_Rischio_Std,Prob_Bonus_Ge_8_%,Prob_Picco_Ge_10_%,Clean_Sheet_%,FVM_1000,n_stagioni,mv_media_3y,mfv_media_3y,mv_storica,mfv_storica,mv_std,mv_trend,availability,gol_per_pg,ass_per_pg,amm_per_pg,rig_per_pg,n_seasons_us,xg_media_3y,xa_media_3y,xg_per90,xa_per90,npxg_per90,shots_per90,offensive_index,gf_avg_3y,giorni_infortunio_3y,n_infortuni_3y,infortunio_grave,malus_infortuni,starts_2627,sub_apps_2627,minutes_2627,is_starter_2627,starter_pct_2627,score_composito,score_composito_base,vorp_points,target_price_500,target_price_1000,clearing_price_1000,clearing_price_500,target_flags,prezzo_fair_1000,prezzo_fair_500,surplus_value_cr,predicted_contrib_p10,predicted_contrib_p50,predicted_contrib_p90,contrib_volatility_spread
Fadera,C,W,CAG,2,1.2,6.0,0.5,0.0,0.0,0.0,12,2.0,5.947,6.163,5.96,6.17,0.04,,0.632,0.062,0.083,0.125,0.0,2.0,2.174,2.117,0.143,0.146,0.143,1.413,0.9604,1.472,92,5,0,0.358,0,2,33,False,0.0,0.4765,0.5035,0.0,2,12,1,1,floor_qi;clearing_observed(asta_xlsx),12,2,11,53.6,135.7,208.8,155.2
De Roon,C,M;C,ROM,4,1.0,6.0,0.5,0.0,0.0,0.0,10,10.0,6.03,6.172,6.014,6.112,0.069,0.0069,0.882,0.06,0.063,0.23,0.006,4.0,0.935,1.938,0.031,0.061,0.031,0.515,1.0268,2.203,72,4,1,0.58,0,1,12,False,0.0,0.476,0.5214,0.0,4,11,1,1,fade(1.06);clearing_observed(asta_xlsx),11,4,10,72.6,162.6,211.4,138.8
Koopmeiners,C,C;T,JUV,7,1.5,6.0,0.5,0.0,0.0,0.0,15,5.0,5.88,6.16,6.136,6.646,0.289,-0.17,0.8,0.191,0.099,0.158,0.026,4.0,3.608,4.172,0.209,0.161,0.165,1.771,1.0076,1.992,153,8,0,0.595,0,2,20,False,0.0,0.4759,0.5225,4.1,8,18,75,38,fade(1.20);clearing_observed(asta_xlsx),18,8,-57,70.1,168.3,210.3,140.2
Musah,C,C;W,MIL,3,1.5,6.0,0.5,0.0,0.0,0.0,15,3.0,5.853,5.912,5.85,5.873,0.113,0.01,0.588,0.015,0.045,0.164,0.0,3.0,1.348,1.428,0.099,0.106,0.099,1.068,1.0464,2.419,49,6,0,0.191,2,0,180,True,1.0,0.4759,0.4899,8.3,3,14,2,1,thin_prior_sample_no_fade;team_discount(MIL);clearing_observed(historical),14,3,12,94.7,172.5,217.3,122.6
Ekhator,A,A,JUV,3,1.0,6.0,0.5,0.0,0.0,0.0,10,2.0,5.93,6.22,5.915,6.19,0.045,,0.526,0.1,0.025,0.1,0.0,2.0,2.568,1.122,0.245,0.122,0.245,1.629,1.0076,1.992,57,5,0,0.222,0,1,0,False,0.0,0.4759,0.4923,0.0,3,10,10,3,fade(0.97),10,3,0,42.5,117.7,203.8,161.3
Kabasele,D,Dc,UDI,4,1.2,6.0,0.5,0.0,0.0,0.0,12,3.0,5.895,6.13,5.857,6.067,0.095,0.115,0.474,0.114,0.0,0.114,0.0,3.0,1.747,0.339,0.102,0.021,0.102,0.629,0.965,1.523,14,2,0,0.054,0,0,0,False,0.0,0.4757,0.4796,0.0,3,10,6,3,fade(0.86);clearing_observed(historical),10,3,4,38.7,118.5,198.7,160.0
Kamara H.,D,Ds;E,UDI,9,1.2,6.0,0.5,0.0,0.0,0.0,12,3.0,5.927,5.962,5.957,6.0,0.076,-0.09,0.763,0.023,0.069,0.172,0.0,3.0,1.117,2.894,0.061,0.126,0.061,0.858,0.965,1.523,85,8,0,0.331,2,0,180,True,1.0,0.4755,0.5003,6.5,9,12,9,4,fade(0.96);clearing_observed(historical),12,9,3,95.1,169.2,208.1,113.0
Ndour,C,C,FIO,7,2.2,6.0,0.5,0.0,0.0,0.0,22,2.0,5.77,5.927,5.755,5.855,0.045,,0.487,0.1,0.0,0.067,0.0,2.0,1.792,0.174,0.109,0.014,0.109,1.109,1.0124,2.045,3,2,0,0.012,2,0,152,True,1.0,0.4753,0.4762,13.7,7,23,8,4,fade(1.04);clearing_observed(historical),23,7,15,73.6,177.9,219.2,145.6
Mitaj,D,Ds;E,GEN,4,1.0,6.0,0.5,0.0,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,0.9593,1.46,87,6,0,0.338,0,2,0,False,0.0,0.475,0.5004,0.0,4,10,4,2,no_prior_data;clearing_observed(historical),10,4,6,46.4,149.5,213.5,167.1
Tchato,D,Dd;E,FRO,3,0.8,6.0,0.5,0.0,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,0.9827,1.718,89,4,0,0.346,0,0,0,False,0.0,0.475,0.501,0.0,3,8,8,3,no_prior_data,8,3,0,46.4,149.5,213.5,167.1
Montipò,P,Por,VEN,1,0.1,6.0,0.5,0.0,0.0,0.0,1,1.0,6.2,4.94,6.2,4.94,0.0,,0.921,0.0,0.029,0.0,0.0,4.0,,0.058,0.0,0.002,0.0,0.0,0.9494,1.351,91,4,1,0.654,0,2,0,False,0.0,0.4748,0.5264,18.6,1,1,2,1,floor_qi;clearing_observed(historical),1,1,-1,70.6,168.8,226.0,155.4
Masini,C,M;C,FRO,3,0.8,6.0,0.5,0.0,0.0,0.0,8,2.0,6.007,5.99,6.02,6.035,0.04,,0.513,0.026,0.026,0.179,0.0,2.0,1.499,0.746,0.076,0.046,0.076,0.805,0.9827,1.718,41,4,0,0.159,1,1,121,True,0.5,0.4744,0.486,0.0,3,8,8,3,thin_prior_sample_no_fade,8,3,0,97.3,162.3,212.1,114.8
Perrone,C,M;C,COM,10,3.4,6.0,0.5,0.0,0.0,0.0,34,2.0,6.127,6.293,6.08,6.205,0.14,,0.803,0.049,0.115,0.23,0.0,2.0,1.973,2.248,0.067,0.087,0.067,0.545,1.0068,1.982,82,4,1,0.619,1,1,69,True,0.5,0.4744,0.523,13.7,9,32,26,13,fade(0.93);clearing_observed(historical),32,9,6,77.9,177.9,215.6,137.7
Birindelli,D,Dd;Ds;E,MON,4,1.2,6.0,0.5,0.0,0.0,0.0,12,3.0,5.947,6.1,5.927,6.003,0.071,0.06,0.719,0.037,0.024,0.207,0.0,3.0,1.532,2.015,0.078,0.111,0.078,0.994,0.9337,1.178,107,6,0,0.416,2,0,174,True,1.0,0.4742,0.5058,1.4,4,12,4,2,no_prior_data;clearing_observed(historical),12,4,8,95.0,164.1,208.6,113.6
Taylor K.,C,C;T,LAZ,13,5.3,6.0,0.5,0.0,0.0,0.0,53,1.0,6.06,6.56,6.06,6.56,0.0,,0.447,0.176,0.118,0.294,0.0,1.0,2.089,1.084,0.133,0.069,0.133,1.016,0.9953,1.856,44,6,0,0.171,2,0,180,True,1.0,0.4737,0.4862,14.6,13,53,27,14,thin_prior_sample_no_fade;clearing_observed(historical),53,13,26,95.5,178.8,215.9,120.4
Elmas,C,W;T,ATA,7,2.2,6.0,0.5,0.0,0.0,0.0,22,7.0,5.94,6.42,6.004,6.419,0.122,-0.005,0.586,0.116,0.082,0.136,0.007,4.0,2.372,1.272,0.181,0.097,0.167,1.613,1.0354,2.298,78,6,0,0.303,0,2,42,False,0.0,0.4737,0.4963,0.0,8,24,3,2,fade(1.07);clearing_observed(asta_xlsx),24,8,21,49.9,128.1,208.3,158.4
Celik,D,B;Dd;E,JUV,8,1.6,6.0,0.5,0.0,0.0,0.0,16,4.0,5.998,6.038,5.92,5.902,0.153,0.094,0.625,0.011,0.053,0.137,0.0,4.0,1.111,1.733,0.036,0.087,0.036,0.529,1.0076,1.992,60,10,0,0.233,2,0,159,True,1.0,0.4737,0.4909,14.2,7,13,17,9,fade(0.84);clearing_observed(historical),13,7,-4,80.3,176.9,210.1,129.8
Akanji,D,Dc,INT,15,4.7,6.0,0.5,0.0,0.0,0.0,47,1.0,6.28,6.41,6.28,6.41,0.0,,0.842,0.062,0.0,0.125,0.0,1.0,2.299,0.326,0.074,0.01,0.074,0.736,1.1,3.009,112,6,1,0.736,2,0,143,True,1.0,0.4734,0.5322,5.8,12,38,15,8,fade(0.80);clearing_observed(asta_xlsx),38,12,23,75.7,168.5,215.8,140.1
Gatti,D,Dc,JUV,4,1.0,6.0,0.5,0.0,0.0,0.0,10,4.0,6.012,6.198,5.998,6.087,0.083,0.017,0.605,0.076,0.0,0.174,0.0,4.0,2.913,0.964,0.138,0.047,0.138,1.06,1.0076,1.992,108,8,0,0.42,0,1,0,False,0.0,0.4726,0.5044,0.0,4,10,18,9,thin_prior_sample_no_fade;clearing_observed(asta_xlsx),10,4,-8,48.3,124.5,197.4,149.1
Casadei,C,C;T,TOR,9,2.7,6.0,0.5,0.0,0.0,0.0,27,3.0,4.995,5.315,4.0,4.24,2.829,2.985,0.618,0.149,0.021,0.128,0.0,2.0,3.518,1.1,0.177,0.066,0.177,1.47,0.9571,1.436,3,2,0,0.012,1,0,70,True,0.5,0.4724,0.4733,0.0,8,25,40,20,fade(0.94);clearing_observed(asta_xlsx),25,8,-15,72.6,149.1,195.3,122.7
Konè I.,C,C,SAS,8,2.0,6.0,0.5,0.0,0.0,0.0,20,1.0,6.19,6.63,6.19,6.63,0.0,,0.921,0.171,0.0,0.086,0.0,1.0,5.083,1.76,0.164,0.057,0.164,0.741,0.9714,1.594,250,6,1,1.0,0,0,0,False,0.0,0.4724,0.5558,0.0,7,18,2,1,fade(0.89);clearing_observed(historical),18,7,16,63.8,156.5,223.2,159.4
Terracciano,P,Por,MIL,1,0.1,6.0,0.5,0.0,0.0,0.0,1,8.0,6.102,5.6,6.171,5.327,0.151,-0.0394,0.395,0.0,0.0,0.043,0.0,4.0,1.273,0.801,0.046,0.051,0.046,0.473,1.0464,2.419,12,2,0,0.047,0,1,0,False,0.0,0.4723,0.4757,0.0,1,1,1,1,floor_qi;team_discount(MIL);clearing_observed(asta_xlsx),1,1,0,28.3,118.0,206.7,178.4
Zalewski,C,W,ATA,7,1.8,6.0,0.5,0.0,0.0,0.0,18,6.0,6.027,6.232,5.96,6.225,0.103,0.0246,0.518,0.043,0.077,0.094,0.0,4.0,1.897,2.826,0.089,0.167,0.089,1.377,1.0354,2.298,54,7,0,0.21,1,1,95,True,0.5,0.4723,0.4877,0.0,7,17,12,6,fade(0.95);clearing_observed(asta_xlsx),17,7,5,78.2,160.5,214.1,135.9
Sabelli,D,Dd;Ds;E,GEN,2,0.5,6.0,0.5,0.0,0.0,0.0,5,6.0,5.848,5.77,5.843,5.83,0.068,-0.0029,0.544,0.0,0.055,0.118,0.0,3.0,0.394,1.618,0.023,0.08,0.023,0.377,0.9593,1.46,17,3,0,0.066,0,2,0,False,0.0,0.4722,0.4769,0.0,2,5,2,1,floor_qi;clearing_observed(historical),5,2,3,39.9,126.4,201.2,161.3
Terracciano F.,D,B;Dd;Ds,MIL,2,0.4,6.0,0.5,0.0,0.0,0.0,4,4.0,5.815,5.753,5.885,5.853,0.132,-0.084,0.487,0.03,0.03,0.149,0.0,4.0,1.273,0.801,0.046,0.051,0.046,0.473,1.0464,2.419,12,2,0,0.047,0,2,0,False,0.0,0.4718,0.4751,0.0,2,4,1,1,floor_qi;team_discount(MIL);clearing_observed(asta_xlsx),4,2,3,42.0,113.3,185.8,143.8
Doig,D,Ds;E,SAS,5,1.0,6.0,0.5,0.0,0.0,0.0,10,3.0,5.877,5.89,5.913,6.017,0.111,-0.11,0.667,0.026,0.079,0.171,0.0,3.0,0.776,1.412,0.042,0.069,0.042,0.689,0.9714,1.594,67,4,0,0.261,2,0,151,True,1.0,0.4718,0.491,5.2,5,10,8,4,fade(1.00);clearing_observed(asta_xlsx),10,5,2,93.6,167.9,208.1,114.5
Akinsanmiro,C,C,MON,7,1.1,6.0,0.5,0.0,0.0,0.0,11,1.0,5.8,5.8,5.8,5.8,0.0,,0.605,0.0,0.043,0.087,0.0,1.0,1.113,1.643,0.069,0.103,0.069,0.812,0.9337,1.178,36,4,0,0.14,0,1,36,False,0.0,0.4715,0.4816,0.0,7,11,2,1,thin_prior_sample_no_fade;clearing_observed(historical),11,7,9,44.3,122.5,208.6,164.3
Nicolussi Caviglia,C,M;C,PAR,6,1.6,6.0,0.5,0.0,0.0,0.0,16,7.0,5.998,6.187,4.249,4.351,2.69,0.6425,0.405,0.072,0.101,0.159,0.0,4.0,1.194,1.237,0.059,0.086,0.059,1.41,0.9545,1.408,0,0,0,0.0,0,0,0,False,0.0,0.4709,0.4709,0.0,6,16,2,1,thin_prior_sample_no_fade;clearing_observed(historical),16,6,14,48.1,120.5,191.4,143.3
